Created Date,Record Number,Record Type,Status,Address,Property/Project Name,Description,Expiration Date,Column 1,Column 2,Latitude,Longitude,Processed_Category
12/18/2025,006606-25PA,Building & Land Use Pre-Application,Additional Info Requested,10744    35TH  AVE  NE  SEATTLE,Stuart Fluharty,We want to convert a duplex into a childcare center. We need to do a change of occupancy to i4. No construction/electrical/plumbing is needed.,,,,,,Multiplex/Multifamily
12/18/2025,006611-25PA,Building & Land Use Pre-Application,In Process,7003    40TH  AVE  NE,JRJ DADU 7003,CONVERT EXISTING DETACHED GARAGE INTO A DADU.,,,,,,DADU
12/18/2025,006613-25PA,Building & Land Use Pre-Application,Additional Info Requested,5262    18TH  AVE  SW  SEATTLE,18th Ave SW 3DU,5262 was recently approved short subdivision under #3042302-LUSouth lot in for bldg permit under #7049767-CNNeed new CN number for north lot.North lot to include 3 new dwelling units.PASV already completed for the master parcel,,,,,,Unit Lot Subdivision (ULS)
12/17/2025,006598-25PA,Building & Land Use Pre-Application,In Process,13750    22nd  AVE  NE,,Construct an SFR with attached garage and 2 DADU. Demo existing SFR.,,,,,,DADU
12/17/2025,006593-25PA,Building & Land Use Pre-Application,In Process,1312   S  ANGELINE  ST   SEATTLE,,CONSTRUCT A DETACHED ADU WITH GARAGE ACCESS 								FROM THE ALLEY,,,,,,DADU
12/16/2025,006563-25PA,Building & Land Use Pre-Application,In Process,4516    2ND  AVE  NW  SEATTLE,Sebastian AADU,Converting an existing basement space to AADU in an existing single family,,,,,,AADU
12/16/2025,006564-25PA,Building & Land Use Pre-Application,In Process,8816    38TH  AVE  SW  SEATTLE,,"DEMOLISH EXISTING BUILDING,CONSTRUCT TWO NEW DUPLEXS, WITH PARKING PER PLAN.",,,,,,Multiplex/Cluster
12/16/2025,006574-25PA,Building & Land Use Pre-Application,In Process,8258    2ND  AVE  NE  SEATTLE,,Remove existing structures.  Construct four (4) new Single Family Residences with parking provided vis existing alley,,,,,,Multiplex/Cluster
12/16/2025,006565-25PA,Building & Land Use Pre-Application,In Process,3924   SW  106TH  ST   SEATTLE,,CONSTRUCT (1) NEW SFR PER PLAN W/ SURFACE PARKING. EXISTING SFR TO REMAIN. FUTURE ULS.,,,,,,Unit Lot Subdivision (ULS)
12/16/2025,006575-25PA,Building & Land Use Pre-Application,In Process,6011    GREENWOOD  AVE  N  SEATTLE,Pedersen AADU,Convert existing heated basement into an accessory dwelling unit.,,,,,,AADU
12/16/2025,006570-25PA,Building & Land Use Pre-Application,Completed,220    10TH  AVE   SEATTLE,Alcove - First Hill,Convert existing interior areas to 13 residential dwelling units and revise common amenity. No ground disturbance.,,,,,,Multiplex/Cluster
12/15/2025,006538-25PA,Building & Land Use Pre-Application,In Process,9629    MARY  AVE  NW  SEATTLE,,"THE PROJECT WILL BE SUBMITTED UNDER THE NEW CODE.SCOPE OF WORK: DEMOLISH THE EXISTING SINGLE-FAMILY RESIDENCE AND CONSTRUCT FIVE NEW UNITS: ONE SINGLE-FAMILY HOME WITH A GARAGE AND FOUR SURFACE PARKING SPACES.HARD SURFACE AREA: 4,999?SF",,,,,,Multiplex/Cluster
12/15/2025,006533-25PA,Building & Land Use Pre-Application,Completed,11017    37TH  AVE  SW  SEATTLE,Grainger Cedar Cottage,New 2 bedroom DADU using standard plan #6800134-SP,,,,,,DADU
12/15/2025,006547-25PA,Building & Land Use Pre-Application,Completed,12200    STONE  AVE  N  SEATTLE,Halcyon Demo Permit Site 17,The project proposes to demolish an existing mobile home unit along with the abandonment of all existing utilities.,,,,,,Single Family Residence
12/15/2025,006550-25PA,Building & Land Use Pre-Application,In Process,2519   S  JUNEAU  ST,,Construct 3 SFRs and 1 open parking stall per SFR,,,,,,Multiplex/Cluster
12/15/2025,006543-25PA,Building & Land Use Pre-Application,In Process,10154    RAINIER  AVE  S  SEATTLE,Iszley Residence,Replacement of existing driveway approach from Rainier Ave S. Construction of new driveway from 72nd Ave S. Construction of staircase linking two driveways and several <4' tall site retaining walls.,,,,,,Multiplex/Cluster
12/15/2025,006542-25PA,Building & Land Use Pre-Application,In Process,4404   NE  50TH  ST   SEATTLE,Laurelhurst Demo,"Full demolition of an existing 3-unit residential triplex (two-story wood-frame building with basement) at 4404 NE 50th St, Seattle, WA 98105 (parcel 717370-0905) in preparation for future redevelopment into five attached rowhouses under existing approved construction permit 6693847-CN.",,,,,,Multiplex/Multifamily
12/12/2025,006506-25PA,Building & Land Use Pre-Application,Completed,1312   E  OLIVE  ST   SEATTLE,,9-UNIT ULS,,,,,,Unit Lot Subdivision (ULS)
12/12/2025,006509-25PA,Building & Land Use Pre-Application,Completed,3429    9TH  AVE  W  SEATTLE,,4-UNIT ULS,,,,,,Unit Lot Subdivision (ULS)
12/12/2025,006514-25PA,Building & Land Use Pre-Application,Completed,4041    34TH  AVE  S  SEATTLE,New DADU,Construct (1) New DADU. No change to existing SFR under this permit.,,,,,,DADU
12/12/2025,006515-25PA,Building & Land Use Pre-Application,In Process,3200   SW  97TH  ST   SEATTLE,Shi Shack,BUILD A SINGLE FAMILY RESIDENCE IN THE REAR OFTHE PARCEL AND PERFORM A UNIT LOT SUBDIVISIONTO CREATE SEPARATE OWNERSHIP,,,,,,Unit Lot Subdivision (ULS)
12/12/2025,006503-25PA,Building & Land Use Pre-Application,Completed,5727    35TH  AVE  NE,,3-UNIT ULS,,,,,,Unit Lot Subdivision (ULS)
12/12/2025,006508-25PA,Building & Land Use Pre-Application,Completed,3433    9TH  AVE  W  SEATTLE,,4-UNIT ULS,,,,,,Unit Lot Subdivision (ULS)
12/12/2025,006512-25PA,Building & Land Use Pre-Application,Completed,5616    38TH  AVE  SW  SEATTLE,Jampani DADUs. Seattle,"Adding two 2-story, 1,000 square foot custom DADUs on eastern portion of the property",,,,,,DADU
12/12/2025,006510-25PA,Building & Land Use Pre-Application,Completed,3425    9TH  AVE  W  SEATTLE,,4-UNIT ULS,,,,,,Unit Lot Subdivision (ULS)
12/11/2025,006497-25PA,Building & Land Use Pre-Application,In Process,11461    MARINE VIEW  DR  SW  SEATTLE,Bluff Erosion Mitigation,This property sits along the top of a bluff facing SW. The property has experienced two sloughing events which have encroached apx 7ft into the backyard. Top of bluff is now apx 23 feet away from the house and 10 ft away from the edge of back patio. Geotechnical engineer recommends installation of a soldier pile wall to protect remaining property.,,,,,,Multiplex/Cluster
12/11/2025,006479-25PA,Building & Land Use Pre-Application,Completed,2649    45TH  AVE  SW  SEATTLE,,5-UNIT ULS,,,,,,Unit Lot Subdivision (ULS)
12/11/2025,006482-25PA,Building & Land Use Pre-Application,Completed,1533   NE  94TH  ST   SEATTLE,,3-UNIT ULS,,,,,,Unit Lot Subdivision (ULS)
12/10/2025,006476-25PA,Building & Land Use Pre-Application,Completed,5549    34TH  AVE  NE  SEATTLE,Bracegirdle Bryant DADU,Build new DADU in rear yard adjacent to alley,,,,,,DADU
12/10/2025,006461-25PA,Building & Land Use Pre-Application,Completed,4428    GREENWOOD  AVE  N  SEATTLE,,Construct four residential units. Demolish existing structures.,,,,,,Multiplex/Cluster
12/10/2025,006455-25PA,Building & Land Use Pre-Application,Completed,9521    12TH  AVE  NW  SEATTLE,Basement to ADU conversion,Converting existing Primary home into a duplex by converting the basement into an ADU and leaving the upstairs as the primary unit.,,,,,,ADU
12/10/2025,006467-25PA,Building & Land Use Pre-Application,Completed,155    23RD  AVE   SEATTLE,,4 Lot ULS,,,,,,Unit Lot Subdivision (ULS)
12/10/2025,006475-25PA,Building & Land Use Pre-Application,In Process,3424   E  YESLER  WAY   SEATTLE,Zajic/Oates Residence,"CONSTRUCT A NEW 3,375 SQ FT SINGLE FAMILY RESIDENCE.",,,,,,Multiplex/Cluster
12/09/2025,006429-25PA,Building & Land Use Pre-Application,Completed,733   N  78TH  ST   SEATTLE,,": DEMOLISH EXISTING BUILDING,CONSTRUCT TWO NEW DUPLEXES, WITH PARKING PER PLAN.",,,,,,Multiplex/Cluster
12/09/2025,006428-25PA,Building & Land Use Pre-Application,Completed,7017    20TH  AVE  NW  SEATTLE,,"DEMOLISH EXISTING BUILDING,CONSTRUCT TWO NEW DUPLEX'S, WITH PARKING PER PLAN.",,,,,,Multiplex/Multifamily
12/09/2025,006431-25PA,Building & Land Use Pre-Application,Completed,1953    10TH  AVE  W  SEATTLE,,"DEMOLISH EXISTING BUILDING,CONSTRUCT FOUR NEW SFR'S AND ONE NEW DUPLEX, WITHPARKING PER PLAN.",,,,,,Duplex + SFR
12/09/2025,006451-25PA,Building & Land Use Pre-Application,Completed,2200   NW  67TH  ST   SEATTLE,,Remove existing structures.Construct four (4) new dwelling units with parking provided via new curb cut,,,,,,Multiplex/Cluster
12/09/2025,006447-25PA,Building & Land Use Pre-Application,Completed,3011   NE  103RD  ST   SEATTLE,,3 lot unit lot subdivision,,,,,,Unit Lot Subdivision (ULS)
12/09/2025,006443-25PA,Building & Land Use Pre-Application,Completed,4073    GILMAN  AVE  W,,*Full plan review required* CONVERT EXISTING ONE BEDROOM APARTMENT UNIT INTO TWO BEDROOM UNIT,,,,,,Multiplex/Multifamily
12/08/2025,006419-25PA,Building & Land Use Pre-Application,Withdrawn,16  R  S  MICHIGAN  ST   SEATTLE,S Michigan Regulator Station Generator Replacement,"Note: neighboring address used, work in ROW. WSDOT ROW (approx. 164 S Michigan St): Construct new building for new generator and automatic transfer switch (ATS), remove existing mechanics from existing regulator station. SDOT ROW: Install approximately 650 feet of conduit on S Michigan St via open trench installation and routing through existing conduit infrastructure to connect power from the new generator to the outfall station in the ROW of S Michigan St (approx. 16 S Michigan St). Remove equipment and equipment pad from outfall station, restore concrete.",,,,,,Multiplex/Cluster
12/08/2025,006406-25PA,Building & Land Use Pre-Application,In Process,2321   NE  130TH  ST   SEATTLE,,"DEMOLISH EXISTING BUILDING,CONSTRUCT FOUR NEW SFR'S, WITH PARKING PER PLAN. Future ULS",,,,,,Unit Lot Subdivision (ULS)
12/08/2025,006425-25PA,Building & Land Use Pre-Application,Reviews Completed,8402    5TH  AVE  SW  SEATTLE,Thistle Development,Construction (4) new units on lots Y and Z of LBA #3043410-LU. Occupy per plans. Surface & garage parking provided per plan. Existing house on lot X is to remain.,,,,,,Unit Lot Subdivision (ULS)
12/08/2025,006400-25PA,Building & Land Use Pre-Application,Completed,6222    33RD  AVE  NE  SEATTLE,Garage and DADU,Proposed New 2 Story Garage and Detatched ADU.  714sf DADU and 270sf garage.  492sf footprint.  Existing 371sf garage to be removed.,,,,,,DADU
12/08/2025,006407-25PA,Building & Land Use Pre-Application,In Process,2327   NE  130TH  ST   SEATTLE,,"DEMOLISH EXISTING BUILDING,CONSTRUCT FOUR NEW SFR'S, WITH PARKING PER PLAN. Future ULS",,,,,,Unit Lot Subdivision (ULS)
12/08/2025,006405-25PA,Building & Land Use Pre-Application,Completed,11504    SAND POINT  WAY  NE  SEATTLE,25-0315 New DADU,Construct new single family dwelling on lot with existing SFR. Establish new dwelling as DADU following the Standard Plan 6880596-SP,,,,,,DADU
12/08/2025,006403-25PA,Building & Land Use Pre-Application,In Process,6716    RAINIER  AVE  S  SEATTLE,African Cultural Arts Center,Removal of existing home and construction of a new institutional community building.,,,,,,Single Family Residence
12/08/2025,006418-25PA,Building & Land Use Pre-Application,Completed,6540    19TH  AVE  NE  SEATTLE,Munos Stair Dormer,"Alterations to remove/replace stairs and new dormer to a single-family residence, subject to field inspection.",,,,,,Single Family Residence
12/06/2025,006395-25PA,Building & Land Use Pre-Application,Completed,3854    33rd  AVE  W,,Demo existing building and garage and construct 3 new Single Family Homes with Parking per plans.,,,,,,Multiplex/Cluster
12/06/2025,006393-25PA,Building & Land Use Pre-Application,In Process,3220   S  DAWSON  ST   SEATTLE,,Construction of 9 townhomes and 2 AADU's on Vacant Parcel,,,,,,Townhouse
12/06/2025,006391-25PA,Building & Land Use Pre-Application,In Process,6311    Fauntleroy  WAY  SW,,Construction of 6 Rowhouses and 2 ADU's on vacant parcel.,,,,,,ADU
12/05/2025,006387-25PA,Building & Land Use Pre-Application,Completed,618   NW  47TH  ST   SEATTLE,DADU 618 Lang,Construct new DADU on lot with existing SFR.,,,,,,DADU
12/05/2025,006384-25PA,Building & Land Use Pre-Application,Completed,6042    33RD  AVE  NE  SEATTLE,Laviolette Garage DADU,THE EXISTING ESTABLISHED 295 SF GARAGE LOCATED ON THE SOUTH EAST CORNER IS BEING CONVERTED INTO A DETACHED AUXILIARY DWELLING UNIT.,,,,,,DADU
12/03/2025,006346-25PA,Building & Land Use Pre-Application,In Process,11044    1ST  AVE  NW  SEATTLE,,Construct 2 SFR and 2 DADU with 2 attached garages and 2 surface parking. Demo existing SFR.,,,,,,DADU
12/03/2025,006321-25PA,Building & Land Use Pre-Application,In Process,4811   SW  NIESZ  CT   SEATTLE,,"DEMOLISH EXISTING BUILDING,CONSTRUCT FOUR NEW SFR'S, WITH PARKING PER PLAN.",,,,,,Multiplex/Cluster
12/03/2025,006342-25PA,Building & Land Use Pre-Application,Completed,940    26TH  AVE,,"DEMOLISH EXISTING HOUSE. CONSTRUCT FOUR SINGLE-FAMILY HOUSES WITH FOUR GARAGES. TOTAL HARD SURFACE AREA: LESS THAN 5,000 SQ. FT.",,,,,,Multiplex/Cluster
12/02/2025,006306-25PA,Building & Land Use Pre-Application,Completed,10604    39TH  AVE  SW  SEATTLE,,"DEMOLISH EXISTING GARAGE, ADDING 2 NEW RESIDENTIAL 								UNITS",,,,,,Multiplex/Cluster
12/02/2025,006308-25PA,Building & Land Use Pre-Application,In Process,6526    18TH  AVE  NW  SEATTLE,Chou SFR Dwelling Unit Addition,"CONSTRUCTION OF A 2-STORY SINGLE FAMILY DWELLING UNIT WITH ATTACHED GARAGE. TOTAL LIVING AREA TO BE 1,576 SF AND GARAGE AREA TO BE 263 SF.",,,,,,Multiplex/Cluster
12/02/2025,006316-25PA,Building & Land Use Pre-Application,Completed,821    27TH  AVE   SEATTLE,Sleamaker DADU,Construct a 2-story DADU behind existing SF house.,,,,,,DADU
12/02/2025,006304-25PA,Building & Land Use Pre-Application,Completed,8654    DELRIDGE  WAY  SW  SEATTLE,,6 lot unit lot subdivision,,,,,,Unit Lot Subdivision (ULS)
12/02/2025,006303-25PA,Building & Land Use Pre-Application,Reviews Completed,10323    3RD  AVE  NW  SEATTLE,,"REMOVE EXISTING STRUCTURE(S). BUILD 5 NEW SINGLE-FAMILY RESIDENCES, PER PLAN. PROJECT TO EXCEED 5,000 SF OF NEW AND REPLACED HARD SURFACES.",,,,,,Multiplex/Cluster
12/01/2025,006287-25PA,Building & Land Use Pre-Application,In Process,1637   SW  AUSTIN  ST   SEATTLE,,Build 8 units on the 2 lot zoned NR,,,,,,Multiplex/Cluster
12/01/2025,006284-25PA,Building & Land Use Pre-Application,Completed,7938    34TH  AVE  SW  SEATTLE,,"DEMOLISH EXISTING BUILDING,CONSTRUCT FOUR NEW SFR'S, WITH PARKING PER PLAN.",,,,,,Multiplex/Cluster
12/01/2025,006291-25PA,Building & Land Use Pre-Application,Additional Info Requested,521    5TH  AVE  W  SEATTLE,Subramanian Unit #1104 Renovation,"Interior non structural renovation to existing condo unit #1104. No change to building envelope, building structure or public areas of building.",,,,,,Multiplex/Multifamily
12/01/2025,006282-25PA,Building & Land Use Pre-Application,Completed,2627    25TH  AVE  W  SEATTLE,,"DEMOLISH EXISTING BUILDING,CONSTRUCT FOUR NEW SFR'S, WITH PARKING PER PLAN",,,,,,Multiplex/Cluster
11/30/2025,006277-25PA,Building & Land Use Pre-Application,Completed,4001    WOODLAND PARK  AVE  N,ADU,Finishing of an existing ADU that was not completed.,,,,,,ADU
11/30/2025,006279-25PA,Building & Land Use Pre-Application,Completed,349   NE  58TH  ST   SEATTLE,JS Homes 85th,Demolition of existing single family residence.  Construction of (2) Single Family residences and a duplex.,,,,,,Multiplex/Multifamily
11/27/2025,006270-25PA,Building & Land Use Pre-Application,Completed,602   N  65TH  ST   SEATTLE,#297 GILLIES JEROD TOWNHOUSE CONSTRUCTION,TOWNHOUSE CONSTRUCTION,,,,,,Townhouse
11/27/2025,006269-25PA,Building & Land Use Pre-Application,Completed,3621   NE  110TH  ST,JESUS SFR,CONVERT EXISTING DETACHED GARAGE INTO A DADU. OCCUPY PER PLAN.,,,,,,DADU
11/26/2025,006245-25PA,Building & Land Use Pre-Application,Completed,3438    22ND  AVE  W  SEATTLE,,3-LOT ULS,,,,,,Unit Lot Subdivision (ULS)
11/26/2025,006261-25PA,Building & Land Use Pre-Application,Completed,3420    32ND  AVE  W  SEATTLE,2532,Demo existing structures.Construct 3 primary residences.,,,,,,Multiplex/Cluster
11/26/2025,006255-25PA,Building & Land Use Pre-Application,Completed,10743    FREMONT  AVE  N  SEATTLE,2 New DADUs,Demo existing detached garage and construct (2) new detached accessory dwelling units. No change to existing SFR.,,,,,,DADU
11/26/2025,006248-25PA,Building & Land Use Pre-Application,Completed,1237   NE  90TH  ST   SEATTLE,2531,Demo existing structure.  Construct 3 primary residences.,,,,,,Multiplex/Cluster
11/26/2025,006259-25PA,Building & Land Use Pre-Application,Completed,6504    24TH  AVE  SW  SEATTLE,Lot # 3 ULS,8 single family homes,,,,,,Unit Lot Subdivision (ULS)
11/26/2025,006266-25PA,Building & Land Use Pre-Application,Completed,832   NW  MARKET  ST   SEATTLE,832 NW Market ULS,Subdivide a single NC1-40 (M2) lot into 6 unit lots. Existing structures to be removed.,,,,,,Unit Lot Subdivision (ULS)
11/26/2025,006262-25PA,Building & Land Use Pre-Application,Completed,5027    45TH  AVE  S  SEATTLE,Jones DADU,Rebuild of existing garage with DADU unit above.,,,,,,DADU
11/25/2025,006241-25PA,Building & Land Use Pre-Application,Completed,537   N  71ST  ST   SEATTLE,,4-LOT ULS,,,,,,Unit Lot Subdivision (ULS)
11/25/2025,006213-25PA,Building & Land Use Pre-Application,Completed,3810    24TH  AVE  W  SEATTLE,,Retain Existing SFR with driveway via 24th Ave W.Construct three (3) new dwelling units with parking provided via existing alley,,,,,,Multiplex/Cluster
11/25/2025,006216-25PA,Building & Land Use Pre-Application,Completed,14303    22ND  AVE  NE  SEATTLE,Christine Zhang,Construct a new single family residence and convert the existing house into a DADU.,,,,,,DADU
11/25/2025,006226-25PA,Building & Land Use Pre-Application,Withdrawn,7389    25TH  AVE  NE  SEATTLE,Lu DADU,"Revision for Permit #6932481-CN""Construction of a Seattle pre-approved detached accessory dwelling unit. One-story""Pre-approved SDCI PLAN# 6800948-SP",,,,,,DADU
11/24/2025,006198-25PA,Building & Land Use Pre-Application,Completed,512   N  143RD  ST   SEATTLE,Simion ADU,Construction of a new DADU.,,,,,,DADU
11/24/2025,006197-25PA,Building & Land Use Pre-Application,Completed,4120    PALATINE  AVE  N  SEATTLE,,CONSTUCT (4) NEW SFR PER PLAN W/ ATTCHED GARAGEs. EXISTINGSFR TO BE DEMOLISHED.,,,,,,Multiplex/Cluster
11/24/2025,006210-25PA,Building & Land Use Pre-Application,Completed,611   N  143RD  ST   SEATTLE,bill yen dadu,convert existing garage into a DADU and occupy per plan,,,,,,DADU
11/24/2025,006195-25PA,Building & Land Use Pre-Application,Completed,12345    8TH  AVE  NE  SEATTLE,IFGF SEA - Townhome,"***full plan review required*** We are proposing to subdivide the southeast corner of the property into a residential parcel of approximately 8,217 square feet (NR2 zone). The intended use would be a townhouse development.",,,,,,Unit Lot Subdivision (ULS)
11/23/2025,006185-25PA,Building & Land Use Pre-Application,Completed,5561    16TH  AVE  S  SEATTLE,,PROPOSING DUPLEX WEST OF EXISTING SFR,,,,,,Duplex + SFR
11/21/2025,006168-25PA,Building & Land Use Pre-Application,Reviews Completed,1931   NE  northgate  WAY,1931 homes,Proposed to build 1 SFR and 2 ADUs,,,,,,Multiplex/Cluster
11/21/2025,006169-25PA,Building & Land Use Pre-Application,Completed,4410    29TH  AVE  S  SEATTLE,Neighborhood House - Rainier Vista,"Environmental Works is working with Cascadia Renewables to support Neighborhood House in completing a solar energy feasibility study funded by the Department of Commerce. The project includes overall coordination to evaluate potential locations for a photovoltaic array and battery storage system. Work includes reviewing utility and load-demand data, site assessments, conceptual solar design development, and community engagement. The SDCI Pre-Application Conference will help clarify permitting requirements, identify applicable codes, and confirm any structural or electrical considerations related to installing a solar PV and battery storage system. This early coordination allows the design team to verify feasibility assumptions.",,,,,,Single Family Residence
11/21/2025,006159-25PA,Building & Land Use Pre-Application,In Process,640   W  BARRETT  ST   SEATTLE,W Barrett Short Plat,Short Plat to divide 1 SF lot into 2,,,,,,Unit Lot Subdivision (ULS)
11/21/2025,006170-25PA,Building & Land Use Pre-Application,Completed,2115   NE  130TH  ST   SEATTLE,Thornton Creek Development,"Develop middle housing on a site with environmentally critical areas, per plans and as follows: (18) new single-family residences, (2) existing single-family residences to remain, and (1) existing detached garage to remain. Divide subject into (20) unit lots and (1) tract via unit lot long plat. Establish use and occupy, per plans.Matthew Bateman and Jon Ford have been in communication with the project civil engineer regarding this project. Please assign them to the preliminary assessment as they are already familiar with it.",,,,,,Middle Housing
11/21/2025,006166-25PA,Building & Land Use Pre-Application,Completed,1233    FEDERAL  AVE  E  SEATTLE,,"Demolition of non-structural walls of existing, non-conforming garage. Building new single-story DADU.",,,,,,DADU
11/21/2025,006181-25PA,Building & Land Use Pre-Application,Completed,1755   NE  89th  ST,,"DEMOLISH EXISTING HOUSE. CONSTRUCT 5 SINGLE-FAMILY HOUSES WITH 2 GARAGES AND 3 SURFACE PARKING SPACES.HARD SURFACE < 5,000SF",,,,,,Multiplex/Cluster
11/21/2025,006174-25PA,Building & Land Use Pre-Application,Completed,9227    PALATINE  AVE  N  SEATTLE,New SFR + AADU,"25-0264Constructing New SFR and AADU on lot, demolishing existing SFR.",,,,,,AADU
11/21/2025,006165-25PA,Building & Land Use Pre-Application,Completed,2620    37TH  AVE  W  SEATTLE,,New 1000sf DADU with basement garage.,,,,,,DADU
