Created Date,Record Number,Record Type,Status,Address,Property/Project Name,Description,Expiration Date,Column 1,Column 2,Latitude,Longitude,Processed_Category
12/18/2025,006602-25PA,Building & Land Use Pre-Application,In Process,645   NW  75TH  ST   SEATTLE,,"REMOVE EXISTING STRUCTURES. CONSTRUCT 4 NEW SINGLE FAMILY HOMES WITH SURFACE AND GARAGE PARKING, PER PLAN.",,,,47.6830472,-122.3652786,Multiplex/Cluster
12/18/2025,006605-25PA,Building & Land Use Pre-Application,In Process,1216   NE  77TH  ST,JRJ DADU NE 77TH,CONSTRUCT ONE NEW DADU AND OCCUPY PER PLAN,,,,47.6076665,-122.33543778148014,DADU
12/18/2025,006614-25PA,Building & Land Use Pre-Application,In Process,2303   NE  95TH  ST   SEATTLE,2 New DADUs,Construct (2) new DADUs. No change to existing SFR.,,,,47.6973045,-122.3040142,DADU
12/18/2025,006606-25PA,Building & Land Use Pre-Application,Additional Info Requested,10744    35TH  AVE  NE  SEATTLE,Stuart Fluharty,We want to convert a duplex into a childcare center. We need to do a change of occupancy to i4. No construction/electrical/plumbing is needed.,,,,47.7078593,-122.2903724,Multiplex/Multifamily
12/18/2025,006611-25PA,Building & Land Use Pre-Application,In Process,7003    40TH  AVE  NE,JRJ DADU 7003,CONVERT EXISTING DETACHED GARAGE INTO A DADU.,,,,47.6796233,-122.28534392097058,DADU
12/18/2025,006613-25PA,Building & Land Use Pre-Application,Additional Info Requested,5262    18TH  AVE  SW  SEATTLE,18th Ave SW 3DU,5262 was recently approved short subdivision under #3042302-LUSouth lot in for bldg permit under #7049767-CNNeed new CN number for north lot.North lot to include 3 new dwelling units.PASV already completed for the master parcel,,,,47.55388445,-122.35676570280218,Unit Lot Subdivision (ULS)
12/17/2025,006598-25PA,Building & Land Use Pre-Application,In Process,13750    22nd  AVE  NE,,Construct an SFR with attached garage and 2 DADU. Demo existing SFR.,,,,47.729848849999996,-122.30576302265625,DADU
12/17/2025,006593-25PA,Building & Land Use Pre-Application,In Process,1312   S  ANGELINE  ST   SEATTLE,,CONSTRUCT A DETACHED ADU WITH GARAGE ACCESS 								FROM THE ALLEY,,,,47.56037875,-122.31537725660951,DADU
12/16/2025,006563-25PA,Building & Land Use Pre-Application,In Process,4516    2ND  AVE  NW  SEATTLE,Sebastian AADU,Converting an existing basement space to AADU in an existing single family,,,,47.66191465,-122.32696867574234,AADU
12/16/2025,006564-25PA,Building & Land Use Pre-Application,In Process,8816    38TH  AVE  SW  SEATTLE,,"DEMOLISH EXISTING BUILDING,CONSTRUCT TWO NEW DUPLEXS, WITH PARKING PER PLAN.",,,,47.52417135,-122.38034069436677,Multiplex/Cluster
12/16/2025,006574-25PA,Building & Land Use Pre-Application,In Process,8258    2ND  AVE  NE  SEATTLE,,Remove existing structures.  Construct four (4) new Single Family Residences with parking provided vis existing alley,,,,47.690267500000004,-122.32669784396086,Multiplex/Cluster
12/16/2025,006565-25PA,Building & Land Use Pre-Application,In Process,3924   SW  106TH  ST   SEATTLE,,CONSTRUCT (1) NEW SFR PER PLAN W/ SURFACE PARKING. EXISTING SFR TO REMAIN. FUTURE ULS.,,,,47.5084607,-122.38265882364341,Unit Lot Subdivision (ULS)
12/16/2025,006575-25PA,Building & Land Use Pre-Application,In Process,6011    GREENWOOD  AVE  N  SEATTLE,Pedersen AADU,Convert existing heated basement into an accessory dwelling unit.,,,,47.6727975,-122.35561712500001,AADU
12/16/2025,006570-25PA,Building & Land Use Pre-Application,Completed,220    10TH  AVE   SEATTLE,Alcove - First Hill,Convert existing interior areas to 13 residential dwelling units and revise common amenity. No ground disturbance.,,,,47.60419175,-122.3190421313326,Multiplex/Cluster
12/15/2025,006538-25PA,Building & Land Use Pre-Application,In Process,9629    MARY  AVE  NW  SEATTLE,,"THE PROJECT WILL BE SUBMITTED UNDER THE NEW CODE.SCOPE OF WORK: DEMOLISH THE EXISTING SINGLE-FAMILY RESIDENCE AND CONSTRUCT FIVE NEW UNITS: ONE SINGLE-FAMILY HOME WITH A GARAGE AND FOUR SURFACE PARKING SPACES.HARD SURFACE AREA: 4,999?SF",,,,47.7001509,-122.3758036,Multiplex/Cluster
12/15/2025,006533-25PA,Building & Land Use Pre-Application,Completed,11017    37TH  AVE  SW  SEATTLE,Grainger Cedar Cottage,New 2 bedroom DADU using standard plan #6800134-SP,,,,47.50413925,-122.37914175154413,DADU
12/15/2025,006547-25PA,Building & Land Use Pre-Application,Completed,12200    STONE  AVE  N  SEATTLE,Halcyon Demo Permit Site 17,The project proposes to demolish an existing mobile home unit along with the abandonment of all existing utilities.,,,,47.71777865,-122.34017617233164,Single Family Residence
12/15/2025,006550-25PA,Building & Land Use Pre-Application,In Process,2519   S  JUNEAU  ST,,Construct 3 SFRs and 1 open parking stall per SFR,,,,47.6038321,-122.330062,Multiplex/Cluster
12/15/2025,006543-25PA,Building & Land Use Pre-Application,In Process,10154    RAINIER  AVE  S  SEATTLE,Iszley Residence,Replacement of existing driveway approach from Rainier Ave S. Construction of new driveway from 72nd Ave S. Construction of staircase linking two driveways and several <4' tall site retaining walls.,,,,47.511425900000006,-122.24401102693466,Multiplex/Cluster
12/15/2025,006542-25PA,Building & Land Use Pre-Application,In Process,4404   NE  50TH  ST   SEATTLE,Laurelhurst Demo,"Full demolition of an existing 3-unit residential triplex (two-story wood-frame building with basement) at 4404 NE 50th St, Seattle, WA 98105 (parcel 717370-0905) in preparation for future redevelopment into five attached rowhouses under existing approved construction permit 6693847-CN.",,,,47.6650715,-122.2801642,Multiplex/Multifamily
12/12/2025,006506-25PA,Building & Land Use Pre-Application,Completed,1312   E  OLIVE  ST   SEATTLE,,9-UNIT ULS,,,,47.616588,-122.3150277,Unit Lot Subdivision (ULS)
12/12/2025,006509-25PA,Building & Land Use Pre-Application,Completed,3429    9TH  AVE  W  SEATTLE,,4-UNIT ULS,,,,47.6514092,-122.369166,Unit Lot Subdivision (ULS)
12/12/2025,006514-25PA,Building & Land Use Pre-Application,Completed,4041    34TH  AVE  S  SEATTLE,New DADU,Construct (1) New DADU. No change to existing SFR under this permit.,,,,47.5669568,-122.29130324075945,DADU
12/12/2025,006515-25PA,Building & Land Use Pre-Application,In Process,3200   SW  97TH  ST   SEATTLE,Shi Shack,BUILD A SINGLE FAMILY RESIDENCE IN THE REAR OFTHE PARCEL AND PERFORM A UNIT LOT SUBDIVISIONTO CREATE SEPARATE OWNERSHIP,,,,47.51683705000001,-122.3736994865445,Unit Lot Subdivision (ULS)
12/12/2025,006503-25PA,Building & Land Use Pre-Application,Completed,5727    35TH  AVE  NE,,3-UNIT ULS,,,,47.6711835,-122.2906633,Unit Lot Subdivision (ULS)
12/12/2025,006508-25PA,Building & Land Use Pre-Application,Completed,3433    9TH  AVE  W  SEATTLE,,4-UNIT ULS,,,,47.6515363,-122.3691793,Unit Lot Subdivision (ULS)
12/12/2025,006512-25PA,Building & Land Use Pre-Application,Completed,5616    38TH  AVE  SW  SEATTLE,Jampani DADUs. Seattle,"Adding two 2-story, 1,000 square foot custom DADUs on eastern portion of the property",,,,47.5514311,-122.38003523933779,DADU
12/12/2025,006510-25PA,Building & Land Use Pre-Application,Completed,3425    9TH  AVE  W  SEATTLE,,4-UNIT ULS,,,,47.6512756,-122.3691545,Unit Lot Subdivision (ULS)
12/11/2025,006497-25PA,Building & Land Use Pre-Application,In Process,11461    MARINE VIEW  DR  SW  SEATTLE,Bluff Erosion Mitigation,This property sits along the top of a bluff facing SW. The property has experienced two sloughing events which have encroached apx 7ft into the backyard. Top of bluff is now apx 23 feet away from the house and 10 ft away from the edge of back patio. Geotechnical engineer recommends installation of a soldier pile wall to protect remaining property.,,,,47.49926995,-122.37782070215674,Multiplex/Cluster
12/11/2025,006479-25PA,Building & Land Use Pre-Application,Completed,2649    45TH  AVE  SW  SEATTLE,,5-UNIT ULS,,,,47.57974885,-122.3896122776942,Unit Lot Subdivision (ULS)
12/11/2025,006482-25PA,Building & Land Use Pre-Application,Completed,1533   NE  94TH  ST   SEATTLE,,3-UNIT ULS,,,,47.6965366,-122.31062539022327,Unit Lot Subdivision (ULS)
12/10/2025,006476-25PA,Building & Land Use Pre-Application,Completed,5549    34TH  AVE  NE  SEATTLE,Bracegirdle Bryant DADU,Build new DADU in rear yard adjacent to alley,,,,47.66999115,-122.29174082784144,DADU
12/10/2025,006461-25PA,Building & Land Use Pre-Application,Completed,4428    GREENWOOD  AVE  N  SEATTLE,,Construct four residential units. Demolish existing structures.,,,,47.66106135,-122.3551775,Multiplex/Cluster
12/10/2025,006455-25PA,Building & Land Use Pre-Application,Completed,9521    12TH  AVE  NW  SEATTLE,Basement to ADU conversion,Converting existing Primary home into a duplex by converting the basement into an ADU and leaving the upstairs as the primary unit.,,,,47.69853595,-122.37168169589812,ADU
12/10/2025,006467-25PA,Building & Land Use Pre-Application,Completed,155    23RD  AVE   SEATTLE,,4 Lot ULS,,,,47.602844649999994,-122.30275762643123,Unit Lot Subdivision (ULS)
12/10/2025,006475-25PA,Building & Land Use Pre-Application,In Process,3424   E  YESLER  WAY   SEATTLE,Zajic/Oates Residence,"CONSTRUCT A NEW 3,375 SQ FT SINGLE FAMILY RESIDENCE.",,,,47.60187685,-122.28822793353297,Multiplex/Cluster
12/09/2025,006429-25PA,Building & Land Use Pre-Application,Completed,733   N  78TH  ST   SEATTLE,,": DEMOLISH EXISTING BUILDING,CONSTRUCT TWO NEW DUPLEXES, WITH PARKING PER PLAN.",,,,47.685295749999995,-122.34855743944395,Multiplex/Cluster
12/09/2025,006428-25PA,Building & Land Use Pre-Application,Completed,7017    20TH  AVE  NW  SEATTLE,,"DEMOLISH EXISTING BUILDING,CONSTRUCT TWO NEW DUPLEX'S, WITH PARKING PER PLAN.",,,,47.6805903,-122.38241944257575,Multiplex/Multifamily
12/09/2025,006431-25PA,Building & Land Use Pre-Application,Completed,1953    10TH  AVE  W  SEATTLE,,"DEMOLISH EXISTING BUILDING,CONSTRUCT FOUR NEW SFR'S AND ONE NEW DUPLEX, WITHPARKING PER PLAN.",,,,47.637474749999996,-122.37074090991415,Duplex + SFR
12/09/2025,006451-25PA,Building & Land Use Pre-Application,Completed,2200   NW  67TH  ST   SEATTLE,,Remove existing structures.Construct four (4) new dwelling units with parking provided via new curb cut,,,,47.67783005,-122.38450262470386,Multiplex/Cluster
12/09/2025,006447-25PA,Building & Land Use Pre-Application,Completed,3011   NE  103RD  ST   SEATTLE,,3 lot unit lot subdivision,,,,47.7028841,-122.29555256003016,Unit Lot Subdivision (ULS)
12/09/2025,006443-25PA,Building & Land Use Pre-Application,Completed,4073    GILMAN  AVE  W,,*Full plan review required* CONVERT EXISTING ONE BEDROOM APARTMENT UNIT INTO TWO BEDROOM UNIT,,,,47.6569378,-122.38841720081976,Multiplex/Multifamily
12/08/2025,006419-25PA,Building & Land Use Pre-Application,Withdrawn,16  R  S  MICHIGAN  ST   SEATTLE,S Michigan Regulator Station Generator Replacement,"Note: neighboring address used, work in ROW. WSDOT ROW (approx. 164 S Michigan St): Construct new building for new generator and automatic transfer switch (ATS), remove existing mechanics from existing regulator station. SDOT ROW: Install approximately 650 feet of conduit on S Michigan St via open trench installation and routing through existing conduit infrastructure to connect power from the new generator to the outfall station in the ROW of S Michigan St (approx. 16 S Michigan St). Remove equipment and equipment pad from outfall station, restore concrete.",,,,42.70237935,-84.48038686520441,Multiplex/Cluster
12/08/2025,006406-25PA,Building & Land Use Pre-Application,In Process,2321   NE  130TH  ST   SEATTLE,,"DEMOLISH EXISTING BUILDING,CONSTRUCT FOUR NEW SFR'S, WITH PARKING PER PLAN. Future ULS",,,,47.72261185,-122.330517,Unit Lot Subdivision (ULS)
12/08/2025,006425-25PA,Building & Land Use Pre-Application,Reviews Completed,8402    5TH  AVE  SW  SEATTLE,Thistle Development,Construction (4) new units on lots Y and Z of LBA #3043410-LU. Occupy per plans. Surface & garage parking provided per plan. Existing house on lot X is to remain.,,,,47.6057961,-122.3301412,Unit Lot Subdivision (ULS)
12/08/2025,006400-25PA,Building & Land Use Pre-Application,Completed,6222    33RD  AVE  NE  SEATTLE,Garage and DADU,Proposed New 2 Story Garage and Detatched ADU.  714sf DADU and 270sf garage.  492sf footprint.  Existing 371sf garage to be removed.,,,,47.674692,-122.29194529397185,DADU
12/08/2025,006407-25PA,Building & Land Use Pre-Application,In Process,2327   NE  130TH  ST   SEATTLE,,"DEMOLISH EXISTING BUILDING,CONSTRUCT FOUR NEW SFR'S, WITH PARKING PER PLAN. Future ULS",,,,47.722978749999996,-122.33034793237553,Unit Lot Subdivision (ULS)
12/08/2025,006405-25PA,Building & Land Use Pre-Application,Completed,11504    SAND POINT  WAY  NE  SEATTLE,25-0315 New DADU,Construct new single family dwelling on lot with existing SFR. Establish new dwelling as DADU following the Standard Plan 6880596-SP,,,,47.6821366,-122.2636878,DADU
12/08/2025,006403-25PA,Building & Land Use Pre-Application,In Process,6716    RAINIER  AVE  S  SEATTLE,African Cultural Arts Center,Removal of existing home and construction of a new institutional community building.,,,,47.54203535,-122.27205702419914,Single Family Residence
12/08/2025,006418-25PA,Building & Land Use Pre-Application,Completed,6540    19TH  AVE  NE  SEATTLE,Munos Stair Dormer,"Alterations to remove/replace stairs and new dormer to a single-family residence, subject to field inspection.",,,,47.6770376,-122.30736394200883,Single Family Residence
12/06/2025,006395-25PA,Building & Land Use Pre-Application,Completed,3854    33rd  AVE  W,,Demo existing building and garage and construct 3 new Single Family Homes with Parking per plans.,,,,47.655675450000004,-122.39919324638777,Multiplex/Cluster
12/06/2025,006393-25PA,Building & Land Use Pre-Application,In Process,3220   S  DAWSON  ST   SEATTLE,,Construction of 9 townhomes and 2 AADU's on Vacant Parcel,,,,47.55551585,-122.29080071059062,Townhouse
12/06/2025,006391-25PA,Building & Land Use Pre-Application,In Process,6311    Fauntleroy  WAY  SW,,Construction of 6 Rowhouses and 2 ADU's on vacant parcel.,,,,47.5223995,-122.393416,ADU
12/05/2025,006387-25PA,Building & Land Use Pre-Application,Completed,618   NW  47TH  ST   SEATTLE,DADU 618 Lang,Construct new DADU on lot with existing SFR.,,,,47.6630707,-122.35051715579334,DADU
12/05/2025,006384-25PA,Building & Land Use Pre-Application,Completed,6042    33RD  AVE  NE  SEATTLE,Laviolette Garage DADU,THE EXISTING ESTABLISHED 295 SF GARAGE LOCATED ON THE SOUTH EAST CORNER IS BEING CONVERTED INTO A DETACHED AUXILIARY DWELLING UNIT.,,,,47.673436699999996,-122.29190918417737,DADU
12/03/2025,006346-25PA,Building & Land Use Pre-Application,In Process,11044    1ST  AVE  NW  SEATTLE,,Construct 2 SFR and 2 DADU with 2 attached garages and 2 surface parking. Demo existing SFR.,,,,47.7096517,-122.3283591,DADU
12/03/2025,006321-25PA,Building & Land Use Pre-Application,In Process,4811   SW  NIESZ  CT   SEATTLE,,"DEMOLISH EXISTING BUILDING,CONSTRUCT FOUR NEW SFR'S, WITH PARKING PER PLAN.",,,,,,Multiplex/Cluster
12/03/2025,006342-25PA,Building & Land Use Pre-Application,Completed,940    26TH  AVE,,"DEMOLISH EXISTING HOUSE. CONSTRUCT FOUR SINGLE-FAMILY HOUSES WITH FOUR GARAGES. TOTAL HARD SURFACE AREA: LESS THAN 5,000 SQ. FT.",,,,47.59339595,-122.2987220749928,Multiplex/Cluster
12/02/2025,006306-25PA,Building & Land Use Pre-Application,Completed,10604    39TH  AVE  SW  SEATTLE,,"DEMOLISH EXISTING GARAGE, ADDING 2 NEW RESIDENTIAL 								UNITS",,,,47.508033749999996,-122.38117514813845,Multiplex/Cluster
12/02/2025,006308-25PA,Building & Land Use Pre-Application,In Process,6526    18TH  AVE  NW  SEATTLE,Chou SFR Dwelling Unit Addition,"CONSTRUCTION OF A 2-STORY SINGLE FAMILY DWELLING UNIT WITH ATTACHED GARAGE. TOTAL LIVING AREA TO BE 1,576 SF AND GARAGE AREA TO BE 263 SF.",,,,47.6766361,-122.3083942039881,Multiplex/Cluster
12/02/2025,006316-25PA,Building & Land Use Pre-Application,Completed,821    27TH  AVE   SEATTLE,Sleamaker DADU,Construct a 2-story DADU behind existing SF house.,,,,47.60964965,-122.2978839681686,DADU
12/02/2025,006304-25PA,Building & Land Use Pre-Application,Completed,8654    DELRIDGE  WAY  SW  SEATTLE,,6 lot unit lot subdivision,,,,47.52488645,-122.36019275686621,Unit Lot Subdivision (ULS)
12/02/2025,006303-25PA,Building & Land Use Pre-Application,Reviews Completed,10323    3RD  AVE  NW  SEATTLE,,"REMOVE EXISTING STRUCTURE(S). BUILD 5 NEW SINGLE-FAMILY RESIDENCES, PER PLAN. PROJECT TO EXCEED 5,000 SF OF NEW AND REPLACED HARD SURFACES.",,,,47.70417835,-122.36106587794117,Multiplex/Cluster
12/01/2025,006287-25PA,Building & Land Use Pre-Application,In Process,1637   SW  AUSTIN  ST   SEATTLE,,Build 8 units on the 2 lot zoned NR,,,,47.5344925,-122.356468,Multiplex/Cluster
12/01/2025,006284-25PA,Building & Land Use Pre-Application,Completed,7938    34TH  AVE  SW  SEATTLE,,"DEMOLISH EXISTING BUILDING,CONSTRUCT FOUR NEW SFR'S, WITH PARKING PER PLAN.",,,,47.53074785,-122.37497216391509,Multiplex/Cluster
12/01/2025,006291-25PA,Building & Land Use Pre-Application,Additional Info Requested,521    5TH  AVE  W  SEATTLE,Subramanian Unit #1104 Renovation,"Interior non structural renovation to existing condo unit #1104. No change to building envelope, building structure or public areas of building.",,,,47.623903299999995,-122.36368439844412,Multiplex/Multifamily
12/01/2025,006282-25PA,Building & Land Use Pre-Application,Completed,2627    25TH  AVE  W  SEATTLE,,"DEMOLISH EXISTING BUILDING,CONSTRUCT FOUR NEW SFR'S, WITH PARKING PER PLAN",,,,47.644287899999995,-122.38923134999999,Multiplex/Cluster
11/30/2025,006277-25PA,Building & Land Use Pre-Application,Completed,4001    WOODLAND PARK  AVE  N,ADU,Finishing of an existing ADU that was not completed.,,,,47.655524150000005,-122.34502597138781,ADU
11/30/2025,006279-25PA,Building & Land Use Pre-Application,Completed,349   NE  58TH  ST   SEATTLE,JS Homes 85th,Demolition of existing single family residence.  Construction of (2) Single Family residences and a duplex.,,,,47.6705977,-122.32338770033653,Multiplex/Multifamily
11/27/2025,006270-25PA,Building & Land Use Pre-Application,Completed,602   N  65TH  ST   SEATTLE,#297 GILLIES JEROD TOWNHOUSE CONSTRUCTION,TOWNHOUSE CONSTRUCTION,,,,47.6762417,-122.35122062505482,Townhouse
11/27/2025,006269-25PA,Building & Land Use Pre-Application,Completed,3621   NE  110TH  ST,JESUS SFR,CONVERT EXISTING DETACHED GARAGE INTO A DADU. OCCUPY PER PLAN.,,,,47.50441955,-122.37872273112728,DADU
11/26/2025,006245-25PA,Building & Land Use Pre-Application,Completed,3438    22ND  AVE  W  SEATTLE,,3-LOT ULS,,,,47.6514671,-122.3844079,Unit Lot Subdivision (ULS)
11/26/2025,006261-25PA,Building & Land Use Pre-Application,Completed,3420    32ND  AVE  W  SEATTLE,2532,Demo existing structures.Construct 3 primary residences.,,,,47.651174,-122.3979119,Multiplex/Cluster
11/26/2025,006255-25PA,Building & Land Use Pre-Application,Completed,10743    FREMONT  AVE  N  SEATTLE,2 New DADUs,Demo existing detached garage and construct (2) new detached accessory dwelling units. No change to existing SFR.,,,,47.7081346,-122.3504371252589,DADU
11/26/2025,006248-25PA,Building & Land Use Pre-Application,Completed,1237   NE  90TH  ST   SEATTLE,2531,Demo existing structure.  Construct 3 primary residences.,,,,47.6937942,-122.31315527495298,Multiplex/Cluster
11/26/2025,006259-25PA,Building & Land Use Pre-Application,Completed,6504    24TH  AVE  SW  SEATTLE,Lot # 3 ULS,8 single family homes,,,,47.54455845,-122.36393130018305,Unit Lot Subdivision (ULS)
11/26/2025,006266-25PA,Building & Land Use Pre-Application,Completed,832   NW  MARKET  ST   SEATTLE,832 NW Market ULS,Subdivide a single NC1-40 (M2) lot into 6 unit lots. Existing structures to be removed.,,,,47.66890925,-122.36772910856243,Unit Lot Subdivision (ULS)
11/26/2025,006262-25PA,Building & Land Use Pre-Application,Completed,5027    45TH  AVE  S  SEATTLE,Jones DADU,Rebuild of existing garage with DADU unit above.,,,,47.55623095,-122.27676974417942,DADU
11/25/2025,006241-25PA,Building & Land Use Pre-Application,Completed,537   N  71ST  ST   SEATTLE,,4-LOT ULS,,,,47.6801402,-122.35081805,Unit Lot Subdivision (ULS)
11/25/2025,006213-25PA,Building & Land Use Pre-Application,Completed,3810    24TH  AVE  W  SEATTLE,,Retain Existing SFR with driveway via 24th Ave W.Construct three (3) new dwelling units with parking provided via existing alley,,,,47.56987645,-122.3014950910268,Multiplex/Cluster
11/25/2025,006216-25PA,Building & Land Use Pre-Application,Completed,14303    22ND  AVE  NE  SEATTLE,Christine Zhang,Construct a new single family residence and convert the existing house into a DADU.,,,,47.73226965,-122.30621430844673,DADU
11/25/2025,006226-25PA,Building & Land Use Pre-Application,Withdrawn,7389    25TH  AVE  NE  SEATTLE,Lu DADU,"Revision for Permit #6932481-CN""Construction of a Seattle pre-approved detached accessory dwelling unit. One-story""Pre-approved SDCI PLAN# 6800948-SP",,,,47.6819276,-122.30101941593497,DADU
11/24/2025,006198-25PA,Building & Land Use Pre-Application,Completed,512   N  143RD  ST   SEATTLE,Simion ADU,Construction of a new DADU.,,,,47.73251415,-122.35251439999999,DADU
11/24/2025,006197-25PA,Building & Land Use Pre-Application,Completed,4120    PALATINE  AVE  N  SEATTLE,,CONSTUCT (4) NEW SFR PER PLAN W/ ATTCHED GARAGEs. EXISTINGSFR TO BE DEMOLISHED.,,,,47.65707585,-122.35620935,Multiplex/Cluster
11/24/2025,006210-25PA,Building & Land Use Pre-Application,Completed,611   N  143RD  ST   SEATTLE,bill yen dadu,convert existing garage into a DADU and occupy per plan,,,,47.73207585,-122.35089729845332,DADU
11/24/2025,006195-25PA,Building & Land Use Pre-Application,Completed,12345    8TH  AVE  NE  SEATTLE,IFGF SEA - Townhome,"***full plan review required*** We are proposing to subdivide the southeast corner of the property into a residential parcel of approximately 8,217 square feet (NR2 zone). The intended use would be a townhouse development.",,,,47.7186337,-122.32162086854979,Unit Lot Subdivision (ULS)
